date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:33	113/113	---M-Z	200	added ('OK')	text/plain	date:Sat,%2023%20Nov%202024%2020:12:22%20GMT	https://apuestapro.xyz/robots.txt		(from )
15:42:33	53034/53034	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2020:12:22%20GMT	https://apuestapro.xyz/	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/index.html	(from )
15:42:33	56066/56066	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Aug%202024%2008:52:02%20GMT	https://apuestapro.xyz/wp-content/themes/asap/assets/css/main.min.css?ver=01230624	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/wp-content/themes/asap/assets/css/main.min3825.css	(from https://apuestapro.xyz/)
15:42:34	5541/5541	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Aug%202024%2018:34:59%20GMT	https://apuestapro.xyz/wp-content/uploads/generateblocks/style-141.css?ver=1722537299	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/wp-content/uploads/generateblocks/style-141e9d0.css	(from https://apuestapro.xyz/)
15:42:34	148691/148691	---MCZ	200	added ('OK')	application/rss+xml	etag:%225232212287c48bb43554f89bf267fb0c%22	https://apuestapro.xyz/feed/	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/feed/index.html	(from https://apuestapro.xyz/)
15:42:34	717/717	---M-Z	200	added ('OK')	application/rss+xml	etag:%225232212287c48bb43554f89bf267fb0c%22	https://apuestapro.xyz/comments/feed/	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/comments/feed/index.html	(from https://apuestapro.xyz/)
15:42:34	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Aug%202024%2008:52:04%20GMT	https://apuestapro.xyz/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/wp-includes/js/jquery/jquery.minf43b.js	(from https://apuestapro.xyz/)
15:42:35	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Aug%202024%2008:52:04%20GMT	https://apuestapro.xyz/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://apuestapro.xyz/)
15:42:35	2357/2357	---M-Z	200	added ('OK')	application/json	date:Sat,%2023%20Nov%202024%2020:12:24%20GMT	https://apuestapro.xyz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapuestapro.xyz%2F	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/wp-json/oembed/1.0/embed8481.json	(from https://apuestapro.xyz/)
15:42:35	2555/2555	---M-Z	200	added ('OK')	text/xml	date:Sat,%2023%20Nov%202024%2020:12:24%20GMT	https://apuestapro.xyz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapuestapro.xyz%2F&format=xml	C:/Users/JesusConsultorio/Desktop/Apuesta/Apuestas/apuestapro.xyz/wp-json/oembed/1.0/embed2ab1	(from https://apuestapro.xyz/)
